	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1831	8641.423209284323	0.16224274861990873	0.08474004938716947	1.9145935103086449	0.055544363410850096	0.15212708460962737
g1832	1487.9039004122178	0.08091257910533359	0.10593501594934251	0.7637944675821401	0.4449897342566198	0.6271084271817066
g1833	403.47691198099545	0.22891828740562406	0.167158015504047	1.3694723924266845	0.1708516588330462	0.3303072248762831
g1834	976.162769288851	0.7469046967044364	0.22064792459299465	3.3850519921371145	0.0007116477365929853	0.0057240576111948615
g1835	2510.89696730371	0.07942791914704088	0.10395741063633354	0.764042877375021	0.4448416912894535	0.6271084271817066
g1836	232.13193834101324	0.25633160675188443	0.18463698952346494	1.3883004018504541	0.16504558991289253	0.32161610188954864
g1837	662.2233201852414	-0.11729666171060647	0.1308690943326777	-0.8962900087963531	0.37009789386374203	0.5576464786379184
g1838	1031.4056323961152	-0.29667139844065216	0.11129330991925676	-2.6656714465216917	0.007683474287275415	0.036260088271103594
g1839	638.6541920089039	0.15156107373427835	0.14574044928707994	1.0399382908154273	0.2983685712994233	0.48255479391615863
g184	602.56923888142	0.013836879598189593	0.13967334901866663	0.0990659971670069	0.9210858695756203	0.9588566419422677
g1840	1546.6856021184922	1.3178325062772844	0.1505443374384408	8.753783295344205	2.063170838713482e-18	1.8986329643260818e-15
g1841	925.649863191934	0.9362582753635231	0.17366423922928942	5.391197862718176	6.998955811637239e-08	2.740761313046455e-06
g1842	3456.7792816958336	0.051032328462393466	0.10420453375826855	0.4897323237468455	0.6243233255942928	0.7688940305888095
g1843	270.9166669335513	0.2856081165593823	0.18097596481637646	1.5781549602410945	0.1145300145268008	0.2499021834458528
g1844	361.3817610395343	0.29196917673723305	0.16598288072383563	1.7590318680094181	0.0785720958917123	0.19217533885541058
g1845	906.8291918359427	-0.01497087720472	0.12174063719442876	-0.12297354071517143	0.9021280503609692	0.95010260038162
g1846	802.7023341755066	-0.3296666516837117	0.11579657204208169	-2.8469465535120277	0.004414077249391281	0.023491842560152795
g1847	90.43798826537545	0.24265620449256642	0.29497884473162433	0.8226223975937605	0.41072275776225875	0.5985235436749305
g1848	580.9019673273614	-0.34480592811240324	0.16125214062671755	-2.138302950722336	0.032492163238248696	0.10346336754324693
g1849	267.22342855128437	-0.2534079435993786	0.17015217447638045	-1.4893018227901358	0.13640790796061528	0.28240579820192624
g185	4688.984441477632	-0.23917463613216122	0.08061905591116772	-2.9667258370738336	0.0030098922095118247	0.017812561452110975
g1850	1171.156871469986	-0.43588836576944856	0.10285328626110897	-4.237962457153567	2.2555747421362266e-05	0.00037569097854314254
g1851	444.49629835079713	-0.14906008054517692	0.1507467779343664	-0.9888110551197065	0.3227555943449252	0.5103604036973182
g1852	389.1477263524528	0.14199894348016176	0.15063676245273233	0.942657961895052	0.3458558822004716	0.5328989126747324
g1853	947.0933596960919	-0.05351309087012515	0.11185504464731859	-0.4784146395797623	0.6323551159866795	0.7769356415043281
g1854	837.9062690708832	-0.15853909698088833	0.14769936084641233	-1.073390541924876	0.2830959263358338	0.4702509498385398
g1855	2759.620579828546	0.1030105446815222	0.09247612818199177	1.1139149822405934	0.2653156613269362	0.4515150020085308
g1856	1268.5013587685257	0.11960183606702217	0.12656045385350648	0.9450174396929795	0.3446499725946286	0.531485776757783
g1857	320.39416375053514	0.21810304803402064	0.152218398543258	1.4328297375434502	0.15190650072485637	0.3034008839762324
g1858	2327.4939461474673	-0.03951202232200708	0.10026323391820753	-0.3940828634576069	0.6935198624072034	0.8174340741341389
g1859	522.8145937946233	0.411706402055527	0.1441667259231986	2.8557657768745734	0.004293317279530686	0.023104825885895405
g186	2430.040077086798	-0.19140507436980644	0.0983153517645716	-1.9468482890459453	0.05155292570626267	0.14441881242370844
g1860	1187.771478879078	-0.38797678811365466	0.10895697773865186	-3.5608255310116057	0.00036969067288698874	0.003351801396298043
g1861	2600.1889505944673	-0.12312161901738862	0.10769641620890913	-1.1432285618358715	0.2529437065639424	0.4387292808164567
g1862	908.2285115216627	0.040573350295812424	0.10976961962308805	0.3696227647971056	0.7116635866907499	0.8285748184525538
g1863	68.71701548940247	0.3648861175749561	0.3458538826680951	1.0550296985537262	0.2914117422912964	0.47601945688374836
g1864	51.08619401818846	0.437181090519968	0.3691604588532386	1.1842576311613355	0.23631109501821945	0.41797839389904395
g1865	21911.106635580905	0.2392653486140813	0.39633019312545426	0.6037020463347447	0.5460417533944237	0.7104912316171347
g1866	3021.9277312054505	1.726480696486042	0.592488926780289	2.9139459295350982	0.0035689171550268685	0.020149055287812734
g1867	755.6671477436759	0.4432626402403855	0.12298401025040041	3.604229845309848	0.00031307990770385464	0.0029778995872296867
g1868	612.3230631371632	0.5738993290605374	0.14526545498590615	3.9506937772384894	7.792497615928368e-05	0.0009994489102519973
g1869	523.8080297246553	0.25596369898282345	0.13082635655582842	1.9565147705813721	0.0504045441868131	0.14174112081868526
g187	85.57959156760326	0.11266492045009835	0.2899139682671375	0.3886150126657047	0.6975609595606468	0.8196042860891781
g1870	602.4698075335135	-0.05169623595399955	0.14428559792719836	-0.35829103317771005	0.7201255277916849	0.8343664047218106
g1871	2118.0122841420584	0.3055602968273368	0.10280985374734691	2.9720915426866084	0.0029577847972090685	0.017589023971771537
g1872	526.3705965481896	0.07324656508088088	0.1628344877229775	0.44982218512267347	0.6528386598201421	0.7897540775980751
g1873	3604.210055136879	-0.0076509274978234995	0.10431610980281045	-0.07334368116570017	0.9415326327333546	0.9699920574003579
g1874	2198.634493209345	-0.2830353980894708	0.09612700556147596	-2.9443900435290433	0.003235919065740818	0.01878772567979803
g1875	187.58108853352425	0.24608891337386804	0.22935364646432513	1.0729670845331252	0.28328588474805194	0.47035423624608896
g1876	787.8970367328365	0.03812006276629712	0.11859059744414009	0.32144253918825966	0.7478750505128331	0.852827776003017
g1877	112.84724539703029	0.3190533035278753	0.29555148127117936	1.0795185399024685	0.2803566334702514	0.4676332054679359
g1878	301.9604637497092	0.22176837111096576	0.16201972536931236	1.3687738983970046	0.17106996231261062	0.3305556594607453
g1879	177.94060258256295	0.6800261238715314	0.21532444914467908	3.158146353434364	0.0015877582439063147	0.01092437027255915
g188	519.1190052415426	0.30039381383243147	0.17554081716878217	1.711247666937789	0.08703540264315188	0.20563370804200387
g1880	8575.448849549954	-0.240617059570005	0.10385017197516405	-2.3169635157421693	0.020505719286191437	0.07385670517854274
g1881	6027.713441066945	-0.2311056589557737	0.10661734458664933	-2.1676178472814156	0.030187774698105824	0.097838521444789
g1882	1200.2096929655283	-0.27065931500032686	0.11701788474284722	-2.3129739150140556	0.02072407335158471	0.07449737696013996
g1883	1757.8455746982436	0.05627855035981361	0.12678723238539724	0.4438818428400012	0.6571280126432919	0.7924255579301489
g1884	1650.4036062909115	0.2529216621033031	0.15379809526474778	1.6445045152732494	0.10007203239140394	0.22757707865192023
g1885	27699.430569649194	-0.41856974447769035	0.11553299360136672	-3.6229455450788115	0.0002912671586374261	0.0028081970597333187
g1886	167.8088891211817	0.08465034864086265	0.21033832417929668	0.40244852654005636	0.687353963020278	0.8138147114434363
g1887	268.353505619541	1.1905490678885324	0.31162830658426893	3.82041375168398	0.00013322798885341016	0.0015096886021393084
g1888	3196.4169757459185	0.25070223767907596	0.12321402796331477	2.034689083890018	0.04188216726996929	0.12463076614450845
g1889	720.900968281062	0.694626845175677	0.12769424293775172	5.439766344942372	5.335049464533111e-08	2.15805682186224e-06
g189	3779.8223470815647	0.045903782421572094	0.08252019678688192	0.5562733028875826	0.5780240348229178	0.7367404682074654
g1890	674.5269164933172	-0.032295479494805164	0.14073444333783752	-0.229478148553008	0.818497302443187	0.8970729794886737
g1891	898.3753359249963	-0.08008541205614009	0.14834918753099505	-0.5398439545845682	0.5893046515016964	0.7449858737294248
g1892	2128.3114641811912	0.0666528866919126	0.09872285461889894	0.6751515335452318	0.4995794953980711	0.6743498799267693
g1893	902.4190831500596	0.1903482452335165	0.120187640327436	1.5837589016219706	0.1132485951280575	0.24813576111094027
g1894	79.60930241418019	0.1445552472324192	0.30649741077803294	0.47163611224470303	0.6371865459480759	0.7797485623786128
g1895	126.3967010466617	0.4167991469762289	0.25455280472758013	1.6373779398042116	0.10155152469884265	0.22989616384774897
g1896	717.3369292175676	0.5341485051600235	0.18432944917647504	2.8977925532052966	0.0037579906726423885	0.021023045085101263
g1897	1232.4323040685438	-0.05356216718973851	0.1365922138808741	-0.39213192075832065	0.694960743063741	0.8183674208909161
g1898	213.88612920860217	-0.28395504299427554	0.1879376718577118	-1.5109000776026362	0.1308139110991705	0.273594322020481
g1899	477.7895363837202	-0.0657510381242745	0.1292564714359699	-0.5086866243044995	0.6109718994399025	0.7600498688199666
g19	68.61879468520652	0.4886801505092502	0.3185991940382147	1.533839883005589	0.12506904854275122	0.26504269872531216
g190	3178.4688879375444	0.07577772845397492	0.10900662614832926	0.6951662585250682	0.4869511150843836	0.6633852903869786
g1900	215.79525072521116	0.42138764738047446	0.2783341826931588	1.5139629753813626	0.130035230208072	0.2725852405443696
g1901	479.4086989948193	-0.06765042828049271	0.16326878813442602	-0.414350036240811	0.6786177744779942	0.8079707021000263
g1902	605.5413367753112	1.1490471684449413	0.19913582402662083	5.770168045159641	7.919252033177553e-09	4.2247488020473296e-07
g1903	5478.392565924159	0.3873046667870454	0.11373264151185412	3.405395862072521	0.0006606820630909769	0.0053820061887383435
g1904	2063.9320826729304	-0.258600607955587	0.1131512060915121	-2.2854427883556214	0.022286877485963707	0.07860140809147514
g1905	211.8710727276422	0.9278791547034075	0.2428815578779073	3.820294808755458	0.00013329225636926793	0.0015096886021393084
g1906	7528.239442611409	-0.117786592484467	0.07840678212277204	-1.502250051532949	0.13303254296261183	0.27744634030899384
g1907	2071.765282152554	-0.23020688447885448	0.13617859949839825	-1.6904776912583992	0.09093660269500121	0.21203950135653182
g1908	1365.2534944650693	-0.05071058960913503	0.11865405267144895	-0.42738185900444364	0.669101218438839	0.8017453076410698
g1909	450.8198072269434	0.34818049234454024	0.15498237724251365	2.246581182579963	0.024666805890174604	0.08470010492698947
g191	925.5576907688173	0.007251580087711012	0.1392134492108998	0.052089651745682385	0.9584572584838875	0.9794783921374763
g1910	412.57434779170507	0.10758531546714308	0.19232751742162937	0.5593859729977667	0.5758983323335731	0.7352371558039483
g1911	868.5469449925762	0.18896676180883087	0.12121777969095565	1.5589030115103661	0.11901933746357067	0.25650478993173514
g1912	593.7318208505782	0.12362048279988205	0.13645304678456968	0.9059561930856148	0.3649590396810165	0.5517224252870562
g1913	2200.7413256784434	-0.01695441639473887	0.09420441929061464	-0.17997474558423396	0.8571723945498116	0.9223184987833548
g1914	587.5737750390757	0.23336333622014932	0.21544710114414123	1.0831583947097136	0.27873812327574077	0.46744192791708505
g1915	1269.206773113532	0.12146612802968762	0.10561036280436842	1.1501345588092549	0.2500884544840456	0.4350546318316502
g1916	817.5995183605315	-0.495550247527669	0.12416696483764635	-3.990999121027258	6.579552424148673e-05	0.000861897952786166
g1917	3526.297262596017	0.2742814318454028	0.10335548730286657	2.6537674873678005	0.007959865421306955	0.0372776903509299
g1918	2680.944719774503	0.4442419234764467	0.11352059204043637	3.9133157737426743	9.10373602826567e-05	0.0011133173528254461
g1919	277.02638582217634	0.19499722853336515	0.2557800493421451	0.7623629326637842	0.4458434229310546	0.6275906844394693
g192	122.61452983440698	0.6714598248280358	0.23248965827480592	2.8881277120479965	0.00387542486604976	0.02151260291173632
g1920	41.36810119873319	0.6299206787196021	0.38314082812837263	1.6440969807283108	0.10015617153385242	0.22757707865192023
g1921	69.95481826870882	0.08846119020582474	0.43314290483747664	0.20423095753817566	0.8381730205365455	0.9109285174476008
g1922	742.3355223372887	-0.12016151954990795	0.1218711549796346	-0.9859717795403485	0.32414696128685994	0.5116573604189243
g1923	178.00359919287666	-0.5186958938719731	0.1976105367013574	-2.624839254679329	0.008668988294480788	0.039694733762224516
g1924	64.62416060931344	0.025217666009280524	0.3184980471145858	0.07917683087145581	0.9368919730127562	0.9679201102048711
g1925	246.90326439749848	-0.33753903050519984	0.16883432110004076	-1.9992323142946458	0.0455832237454268	0.13211956425741422
g1926	285.05126452777193	-0.06329691387585873	0.16346342355096252	-0.3872237134206652	0.6985905961168957	0.8198111793113163
g1927	610.2508303454093	0.16966753087208927	0.13780416621304084	1.2312220706722952	0.21823981890860777	0.39671149303831366
g1928	205.6254029028453	-0.12564221784402188	0.23119837579065317	-0.5434390160153596	0.5868275686548491	0.7432828633853494
g1929	417.4765286109982	-0.06442242190653323	0.14566609364229563	-0.44226092905828795	0.6583004003988119	0.7926737892927794
g193	5258.675526185661	-0.006567708613803525	0.10376578621266092	-0.06329358503913278	0.9495327239201532	0.9746876622281327
g1930	2045.2576004351067	0.1535582107560475	0.11597104142855318	1.3241082330941283	0.1854671016478745	0.34992537220185854
g1931	1343.2135185093682	0.2889440148441224	0.10095584091448245	2.8620831863396665	0.004208664284556421	0.022782490046253212
g1932	1163.5019196154174	-0.3326733377723899	0.1260284630001721	-2.6396682928041075	0.008298720846568599	0.038376371151028904
g1933	817.5630299110252	-0.349905334077284	0.11730276186917214	-2.982924941422383	0.0028550800272679035	0.017172466634596654
