	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g2897	3259.8739554309977	3963.053751036587	3377.3638223573967	3825.2918249084773	3606.6982139424235	3742.0488707573118
g2898	1926.1084529345346	1909.8666187441659	1798.415753782368	1507.895117702512	1595.6807755812633	1441.4934011455814
g2899	457.1774449689814	339.782341108785	352.5707720691987	363.0852717625785	346.387493464657	393.69653598695993
g29	713.5943597559318	570.0613684953075	580.1668900619956	688.4731655825942	768.2907437983861	707.2242484044457
g290	2190.4762798079023	2124.0422176421202	1916.278029171495	1797.5697061032574	1736.8624079886592	1848.1328556365288
g2900	640.048422956574	689.2267393107109	843.324901491167	636.887279976982	686.2083993754816	626.669069058733
g2901	473.07926914181553	640.9164538450068	780.329547403875	509.9066384862441	451.45289432597474	500.13755234064735
g2902	512.8338295739009	426.74085494705224	510.0591572874287	573.3969592316131	561.4432358526668	579.5336643576446
g2903	353.8155878455595	291.472055643081	312.9446622400957	422.60744746136186	402.20348767223203	397.36691586122504
g2904	425.3737966233131	478.2718261104699	441.98353270922604	349.19676409952905	334.8959652454503	356.41320357995147
g2905	117.27595327465174	135.2687993039713	121.92649178185546	83.3310459782967	154.31480751506047	106.4410163536874
g2906	200.76053018203095	257.65485581708816	221.4997934037041	186.5028171895212	206.84750794571934	218.48419146283203
g2907	856.710777311439	810.0024529749709	852.4693883748062	819.4219521199176	748.590981136889	745.6666481401695
g2908	916.3426179595671	1138.5123941417583	908.3523637748232	833.3104597829671	797.8403877906317	884.1751939216465
g2909	97.39867305860908	86.95851383826725	138.18335735276952	176.5824545730573	106.70704774977585	147.39472863496096
g291	226.60099446288643	210.95491320024092	202.19476553824364	190.47096223610674	215.05574238800978	211.91614326677873
g2910	9260.82485265428	9402.79189447486	8214.797383802512	10150.515029165856	10472.065501474155	10373.266236225601
g2911	755.3366482096214	661.8509108801452	544.6049966256211	654.743932686617	538.4601794142535	608.1239917992884
g2912	1214.5018212002071	1061.2159373966317	1009.9577735930361	1057.510654915051	1208.2521099051542	1147.2834775400172
g2913	592.3429504380715	723.0439391367037	597.4398097310918	827.3582422130887	810.9735628982964	930.5378870702581
g2914	373.69286806160216	357.4961124462098	354.602880265563	378.95785194892073	387.42866567610923	367.81069897898516
g2915	85.47230492898348	66.02405680312884	70.1077327745669	67.45846579195448	72.23246309215595	76.11208791897066
g2916	876.5880575274817	925.9471380926606	859.5817670620811	902.7529980982143	912.755669982698	939.6172478118613
g2917	1268.1704777835223	1592.629077519376	1664.2966128223272	1492.0225375161697	1530.0149000429399	1485.3447817486433
g2918	1367.5568788637356	1850.2839333364643	1963.016517687873	1404.7233464912874	1415.0996178508735	1369.4380488771144
g2919	2067.2371424684375	1887.3218188601707	1726.275912811437	1952.3273629200942	1902.6687437229264	2003.2546997962584
g292	646.0116070213867	962.985023616367	820.9717113311601	523.7951461492936	625.4674645025323	588.4198472111285
g2920	4291.504798643612	4840.690603663544	4012.397633721227	4075.2849628433673	4338.8727261947315	4083.201021175845
g2921	3013.3956807520685	3521.8198104498238	2906.930774899071	3085.232773720271	3302.993539577677	3032.506487695435
g2922	1870.452068329615	1584.577363275092	1607.397583324128	1222.1886743483517	1351.075389201008	1352.6315726107428
g2923	948.1462663052353	855.0920527429613	803.698791662064	972.1955364134616	988.2714268517701	953.9124115326831
g2924	198.7728021604267	206.12388465367053	261.1259032328071	267.8497906445251	210.1308017226355	232.1998215192963
g2925	1307.9250382156076	1856.7253047318916	1575.899906280482	1259.8860522909144	1259.143163447355	1306.268879462131
g2926	1111.1399640767852	1251.2363935617343	1200.9759440512764	982.1158990299255	1114.678237263043	963.7644838267631
g2927	1924.1207249129304	1959.7872470587267	1803.4960242732789	1851.1396642321627	1717.1626453271622	1654.3754338529563
g2928	123.23913733946455	169.0859991299641	219.46768520733983	71.42661083854003	152.67316062660237	118.0316896408403
g2929	168.95688183636267	159.4239420368233	192.03422455642237	172.61430952647174	167.44798262272516	185.45077259444628
g293	3552.069974606825	4336.6532919713645	3915.8724943939246	5597.068588208929	5758.89728471098	5831.654086542859
g2930	135.16550546909014	259.265198665945	187.97000816369385	164.67801943330065	141.18163240739574	135.99723323592727
g2931	4442.572128285537	4697.370090115288	4095.7140697721616	4017.746859667877	4018.751582945404	4016.1682939984776
g2932	216.6623543548651	275.368627154513	264.1740655273535	251.9772104581829	228.1889174956745	246.68816312823742
g2933	240.5150906141163	191.63079901395932	155.45627702186573	164.67801943330065	118.19857596898248	122.86113684382067
g2934	359.7787719103723	389.70296942334585	335.29785240010256	416.65522989148354	344.7458465761989	416.6847046731465
g2935	331.9505796079126	394.53399796991624	349.5226097746523	404.75079475172686	395.6369001183997	374.3787471750384
g2936	488.9810933146496	383.26159802791864	505.99494089470016	498.0022033464875	435.0364254413938	525.8302114605029
g2937	934.2321701540054	840.5989671032501	913.4326342657339	1109.0965405206632	1094.978474601546	1103.4320969369555
g2938	387.60696421283205	368.7685123882074	410.48585566558006	428.55966503124023	392.3536063414835	425.5708875266304
g2939	483.01790924983686	444.45462628447706	390.1647737019375	472.20926054368135	582.7846454026219	526.2165672367413
g294	381.64378014801923	285.03068424765377	356.63498846192726	319.43567625013736	392.3536063414835	370.90154518889256
g2940	129.20232140427734	107.89297087340566	211.3392524218828	152.77358429354396	141.18163240739574	157.43997881716012
g2941	2669.5187330145304	2603.924386601447	2354.1973454879926	3626.8845725791994	3544.315632181016	3605.4721038570265
g2942	2655.6046368633006	3702.1782095217854	3159.9282453464207	1845.1874466622842	1925.6518001613395	1882.1321639455107
g2943	1782.9920353790274	1922.7493615350204	2024.9958176769828	2089.228367027296	1978.1845005919984	1898.552284435644
g2944	1075.3608596879083	766.5231960558373	793.5382506802426	1126.9531932302982	1195.1189347974896	1067.6941876349006
g2945	397.5456043208534	336.5616554110714	329.2015278110098	450.3844627874608	535.1768856373374	462.66104204551965
g2946	473.07926914181553	341.3926839576418	446.0477491019546	361.10119923928573	390.71195945302543	383.6512858047608
g2947	494.94427737946245	500.8166259944651	511.0752113856108	468.2411154970958	451.45289432597474	512.5009371802771
g2948	186.84643403080108	194.85148471167292	232.6763884837075	168.64616447988618	177.29786395347372	198.20051321031448
g2949	196.7850741388224	244.77211302623374	459.25645237832225	234.1205577485479	269.23008970712675	268.13090870947025
g295	3077.002977443405	3272.2166688770194	3002.439860128191	3642.757152765542	3839.8120721034725	3551.575473071766
g2950	467.1160850770027	400.97536936534345	406.42163927285156	581.3332493247842	572.9347640718734	519.648519040688
g2951	254.42918676534615	233.49971308423613	310.91255404373146	394.830432135263	316.83784947241134	334.9704579987186
g2952	3824.3887135666096	4075.7777504565634	4508.232033634106	4886.770624870114	5049.705828897085	5081.930702752186
g2953	2957.739296147149	3874.484894349463	3176.185110917335	4114.966413309223	4291.264966429447	4176.119585361187
g2954	1457.0046398359277	1529.825706413961	1587.0765013604853	1450.3570145270212	1480.7654933891972	1384.6991020385324
g2955	276.2941950029931	314.0168555270762	336.31390649828467	317.4516037268446	320.12114324932753	332.45914545316884
g2956	1170.7718047249132	1082.1503944317703	979.4761506475722	1101.1602504274922	1190.1939941321152	1171.6238914430382
g2957	1299.9741261291906	1106.3055371646221	996.7490703166684	1111.0806130439562	1124.5281185937915	1188.8167234856485
g2958	423.3860686017088	439.62359773790666	413.53401796012645	313.48345868025905	479.36089142976226	445.0818542266711
g2959	1176.734988789726	1024.1780518729254	1011.9898817894003	1109.0965405206632	1040.8041272824291	1067.5010097467814
g296	3995.3333234245765	3892.198665686888	4042.8792566666907	4323.294028254965	4184.557918679671	4355.968199200176
g2960	646.0116070213867	687.616396461854	725.4626261020401	902.7529980982143	904.5474355404076	854.4257991512875
g2961	220.6378103980736	288.25136994536734	267.2222278218999	230.15241270196233	203.56421416880315	216.35923469352068
g2962	608.2447746109057	716.6025677412764	557.8136999019888	698.3935281990581	609.0509956179513	609.8625927923614
g2963	1413.2746233606338	1855.1149618830348	1824.8331603351035	1686.461644798862	1802.5282835269827	1756.9528924442593
g2964	168.95688183636267	215.78594174681132	229.62822618916113	154.75765681683674	159.23974818043473	132.3268533616622
g2965	381.64378014801923	265.70657006137213	274.3346065091748	242.056847841719	241.32209260333923	237.02926872227667
g2967	306.1101153270571	370.3788552370642	432.83904582558694	244.04092036501177	269.23008970712675	268.13090870947025
g2968	393.5701482776448	520.1407401807467	484.65780483287546	499.98627586978023	487.5691258720527	484.10378762675253
g2969	451.21426090416855	541.0751972158852	757.4683301947771	476.1774055902669	435.0364254413938	495.6944609139054
g297	423.3860686017088	325.2892554690738	378.9881786219341	279.7542257842818	364.445609237696	330.5273665719767
g2970	101.37412910181762	86.95851383826725	64.51943523456518	43.64959551244113	26.26635021532944	37.47651029512769
g2971	208.71144226844802	127.21708505968728	145.8037630891355	162.69394691000787	132.97339796510528	133.87227646661592
g2972	73.54593679935788	54.75165686113123	63.503381136383055	35.713305419270014	55.81599420757506	34.19248619710103
g2974	178.89552194438403	140.0998278505417	136.15124915640527	85.31511850158948	119.84022285744057	115.13402131905207
g2975	868.6371454410646	681.1750250664268	2344.5448315552626	672.600585396252	656.658755383236	702.7811569777037
g2976	304.12238730545283	260.87554151480174	252.99747044735008	321.4197487734302	221.62232994184214	260.9833268490593
g2977	222.6255384196779	135.2687993039713	161.5526016109585	188.486889712814	152.67316062660237	150.87193062110683
g2978	1021.6922031045932	1183.6019939097487	1889.3525955696687	982.1158990299255	1075.2787119400489	1112.897813454797
g2979	989.8885547589249	1161.0571940257535	1876.143892293301	966.2433188435832	1052.2956555016356	1090.6823563210874
g298	616.1956866973227	629.6440539030092	560.8618621965352	755.9316313745487	633.6756989448227	683.270190277663
g2980	325.98739554309975	339.782341108785	378.9881786219341	361.10119923928573	288.9298523686238	337.2885926561492
g2981	71.5582087777536	61.193028256558435	79.25221965820606	63.49032074536892	77.15740375753023	74.95302059025538
g2982	196.7850741388224	149.76188494368247	196.09844094915087	148.8054392469584	124.76516352281483	133.29274280225826
g2983	365.7419559751851	325.2892554690738	466.36883106559713	317.4516037268446	311.91290880703707	306.76648633331325
g2984	18972.863966212728	22114.838343350446	18127.42116566736	25427.87345852025	24957.95764522834	24913.572697070787
g2985	582.4043103300502	795.5093673352596	718.3502474147651	589.2695394179552	564.726529629583	537.2277068595366
g2986	856.710777311439	801.9507387306869	841.2927932948028	827.3582422130887	955.4384890826084	855.0053328156451
g2987	256.41691478695043	299.52376988736495	357.6510425601094	190.47096223610674	274.155030372501	232.39299940741552
g2988	166.9691538147584	133.65845645511448	231.66033438552537	218.24797756220565	221.62232994184214	207.4730518400368
g2989	427.3615246449174	402.5857122142002	618.7769457929165	303.5630960637952	313.5545556954952	348.2997322789444
g299	991.8762827805292	933.9988523369445	862.6299293566275	944.4185210873627	907.8307293173237	923.3903052098472
g2990	958.0849064132566	950.1022808255126	878.8867949275415	795.6130818404042	876.63943843662	888.2319295721501
g2991	280.2696510462016	233.49971308423613	296.68779666918164	257.92942802806124	323.4044370262437	342.11803985912957
g2992	693.7170795398891	462.1683976219019	476.52937204741846	541.6517988589286	571.2931171834153	555.579606230862
g2993	880.5635135706902	528.1924544250307	664.4993802111123	607.1261921275903	742.0243935830566	602.9081888200697
g2994	785.1525685336854	779.4059388466917	670.5957048002051	783.7086467006476	827.3900317828774	816.7561109680405
g2995	661.9134311942208	571.6717113441644	558.8297540001709	529.747363719172	533.5352387488792	502.8420427743163
g2996	2444.9054665732483	2149.8077032238293	2111.360416022464	2601.119078036833	2403.3710447026438	2478.279126681408
g2997	677.815255367055	495.9855974478947	590.3274310438169	648.7917151167386	697.6999275946882	618.9419535339645
g2998	1055.4835794718656	1227.0812508288823	1040.4393965385	1797.5697061032574	1713.879351550246	1777.2365706967769
g2999	1023.6799311261974	713.3818820435628	711.2378687274902	894.8167080050432	850.3730882212906	909.4814972652637
g3	103.36185712342187	51.53097116341763	380.5122597692073	53.56995812890503	64.0242286498655	64.71459251993699
